"","region","time_period","strategy_code","difference_variable","difference_value","variable","value"
"49","chile",2,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"50","chile",20,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"51","chile",21,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"52","chile",22,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"53","chile",23,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"54","chile",24,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"55","chile",25,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"56","chile",26,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"57","chile",27,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"58","chile",28,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"59","chile",29,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"60","chile",3,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"61","chile",30,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"62","chile",31,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"63","chile",32,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"64","chile",33,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"65","chile",34,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"66","chile",35,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"67","chile",4,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"68","chile",5,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"69","chile",6,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"70","chile",7,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"71","chile",8,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"72","chile",9,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"73","ecuador",0,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"74","ecuador",1,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"75","ecuador",10,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"76","ecuador",11,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"77","ecuador",12,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"78","ecuador",13,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"79","ecuador",14,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"80","ecuador",15,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"81","ecuador",16,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"82","ecuador",17,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"83","ecuador",18,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"84","ecuador",19,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"85","ecuador",2,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"86","ecuador",20,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
"87","ecuador",21,"TRNS:FUEL_SWITCH_LIGHT_DUTY","diff_nemomod_entc_discounted_capital_investment_fp_hydrogen_electrolysis",0,"entc_capex",0
